category,theoryTitle,theoryContent,theoryStructure,theoryHint,questionType,questionText,optionA,optionB,optionC,optionD,correctAnswer
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,I think it ______ tomorrow.,will rain,rains,is raining,rained,will rain
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,She ______ you next week.,will visit,visits,visited,is visiting,will visit
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,They ______ a new house soon.,build,built,will build,are building,will build
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,We ______ the exam I hope.,pass,will pass,passed,are passing,will pass
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,He ______ a famous singer one day.,will become,becomes,became,is becoming,will become
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,I ______ you with your homework.,help,will help,helped,am helping,will help
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,The train ______ at 8 AM tomorrow.,arrives,arrived,will arrive,is arriving,will arrive
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,You ______ a lot of money in the future.,earn,earned,will earn,are earning,will earn
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,I promise I ______ anyone your secret.,will not tell,do not tell,did not tell,am not telling,will not tell
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,Do you think people ______ on Mars?,live,lived,will live,are living,will live
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,She ______ back in ten minutes.,is,was,will be,are,will be
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,I ______ the door for you.,open,opened,will open,am opening,will open
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,We ______ to Japan next year.,travel,traveled,will travel,are traveling,will travel
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,He ______ his homework later.,does,did,will do,is doing,will do
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,It ______ a great party!,is,was,will be,are,will be
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,I ______ some coffee please.,have,had,will have,am having,will have
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,They ______ the match tomorrow.,win,won,will win,are winning,will win
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,My mother ______ a cake for my birthday.,makes,made,will make,is making,will make
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,I ______ you as soon as I arrive.,call,called,will call,am calling,will call
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,She ______ the new job next month.,starts,started,will start,is starting,will start
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,We ______ out for dinner tonight.,eat,ate,will eat,are eating,will eat
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,The weather ______ better tomorrow.,is,was,will be,are,will be
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,I ______ this book tomorrow.,finish,finished,will finish,am finishing,will finish
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,He ______ a new car next year.,buys,bought,will buy,is buying,will buy
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,They ______ soon.,return,returned,will return,are returning,will return
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,I ______ to the doctor tomorrow.,go,went,will go,am going,will go
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,She ______ the piano at the concert.,plays,played,will play,is playing,will play
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,We ______ you at the station.,meet,met,will meet,are meeting,will meet
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,He ______ the truth eventually.,tells,told,will tell,is telling,will tell
Future Simple,Thì Tương lai đơn (Future Simple),Dùng để diễn tả một quyết định tại thời điểm nói hoặc một dự đoán không chắc chắn trong tương lai.,S + will + V(nguyên thể),tomorrow; next week/month/year; think; hope; promise,Điền từ,The movie ______ at 7 PM.,starts,started,will start,is starting,will start
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,She ______ to school every day.,go,goes,going,is going,goes
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,The sun ______ in the east.,rise,rises,rising,is rising,rises
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,They usually ______ football on Sundays.,play,plays,playing,are playing,play
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,Water ______ at 100 degrees Celsius.,boil,boils,boiling,is boiling,boils
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,My father never ______ coffee.,drink,drinks,drinking,is drinking,drinks
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,Cats ______ mice.,catch,catches,catching,are catching,catch
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,He ______ English very well.,speak,speaks,speaking,is speaking,speaks
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,We often ______ to the cinema at the weekend.,go,goes,going,are going,go
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,The Earth ______ around the Sun.,move,moves,moving,is moving,moves
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,I always ______ up early in the morning.,wake,wakes,waking,am waking,wake
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,She ______ in a bank.,work,works,working,is working,works
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,They ______ in London.,live,lives,living,are living,live
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,The train ______ at 8 AM every day.,leave,leaves,leaving,is leaving,leaves
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,Dogs ______ bones.,like,likes,liking,are liking,like
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,He ______ his teeth twice a day.,brush,brushes,brushing,is brushing,brushes
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,I ______ a student.,be,is,am,are,am
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,She ______ a doctor.,be,is,am,are,is
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,They ______ my friends.,be,is,am,are,are
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,My mother ______ delicious food.,cook,cooks,cooking,is cooking,cooks
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,He never ______ late.,arrive,arrives,arriving,is arriving,arrives
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,We ______ English every day.,study,studies,studying,are studying,study
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,The library ______ at 9 AM.,open,opens,opening,is opening,opens
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,She ______ to read books.,like,likes,liking,is liking,likes
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,They ______ TV in the evening.,watch,watches,watching,are watching,watch
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,I ______ up at 6 o'clock.,get,gets,getting,am getting,get
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,My brother ______ a car.,have,has,having,is having,has
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,She ______ two sisters.,have,has,having,is having,has
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,They ______ a big house.,have,has,having,are having,have
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,The moon ______ around the Earth.,go,goes,going,is going,goes
Present Simple,Thì Hiện tại đơn (Present Simple),Dùng để diễn tả một sự thật hiển nhiên; một thói quen hoặc hành động lặp đi lặp lại ở hiện tại.,S + V(s/es) + ...,always; usually; often; sometimes; every day/week,Điền từ,It ______ in winter.,snow,snows,snowing,is snowing,snows
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,I ______ my homework already.,have finished,has finished,finish,finished,have finished
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,She ______ to London three times.,have been,has been,was,is,has been
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,They ______ here since 2010.,have lived,has lived,live,lived,have lived
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,We ______ each other for a long time.,have known,has known,know,knew,have known
Present Perfect,Thì Hiện tại hoàn thành (Present Perfect),Dùng để diễn tả hành động bắt đầu trong quá khứ kéo dài đến hiện tại hoặc trải nghiệm cho tới nay.,S + have/has + V3/ed + ...,since; for; already; yet; just; ever; never; recently,Điền từ,He ______ his keys so he cannot open the door.,have lost,has lost,lose,lost,has lost
