Word,Definition,Vietnamese Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations
accent,"A distinctive mode of pronunciation of a language, especially one associated with a particular nation, locality, or social class",giọng,He spoke with a British accent.,"noun, verb","accents, accenting, accented","pronunciation, intonation",none,"British accent, strong accent"
accept,Consent to receive or undertake (something offered),chấp nhận,She accepted the job offer.,verb,"accepts, accepting, accepted","agree, receive","reject, refuse","accept an offer, accept responsibility"
acceptable,Able to be agreed on; suitable,chấp nhận được,The proposal is acceptable.,adjective,"acceptably, acceptability","satisfactory, suitable","unacceptable, unsuitable","socially acceptable, acceptable behavior"
access,A means of approaching or entering a place,truy cập,She has access to the library.,"noun, verb","accesses, accessing, accessed","entry, admittance","exit, egress","internet access, access to information"
accident,"An unfortunate incident that happens unexpectedly and unintentionally, typically resulting in damage or injury",tai nạn,She was injured in a car accident.,noun,"accidents, accidental","mishap, misfortune","intentional, deliberate","traffic accident, car accident"
accidental,"Happening by chance, unintentionally, or unexpectedly",tình cờ,It was an accidental discovery.,"adjective, noun",accidentally,"unintentional, chance","intentional, deliberate","accidental damage, accidental discovery"
accidentally,By chance; in a way that was not planned or intended,vô tình,She accidentally spilled the milk.,adverb,"accident, accidental","unintentionally, by chance","deliberately, intentionally","accidentally discovered, accidentally spilled"
accommodation,"A room, group of rooms, or building in which someone may live or stay",chỗ ở,She found accommodation at a hotel.,noun,accommodations,"lodging, housing",homelessness,"student accommodation, temporary accommodation"
accompany,Go somewhere with (someone) as a companion or escort,đi cùng,She will accompany him on the trip.,verb,"accompanies, accompanying, accompanied","escort, chaperone","desert, abandon","accompany on a trip, accompany to the event"
according to,As stated by or in,theo,"According to the report, it will rain tomorrow.",preposition,accord,"as per, in agreement with","disagreeing, contrary to","according to plan, according to the law"
account,A report or description of an event or experience,tài khoản,She gave an account of the event.,"noun, verb","accounts, accounting, accounted","report, description","ignorance, neglect","bank account, user account"
account for,To be the explanation or cause of something,chiếm,His injury accounts for his absence.,verb,"accounts for, accounting for, accounted for","explain, justify","misaccount, misexplain","account for expenses, account for the delay"
accurate,Correct in all details; exact,chính xác,She provided an accurate report.,adjective,"accuracy, accurately","correct, precise","inaccurate, incorrect","accurate information, accurate measurement"
accurately,In a way that is correct in all details; exactly,chính xác,The data was accurately recorded.,adverb,accurate,"exactly, precisely","inaccurately, imprecisely","recorded accurately, measured accurately"
accuse,Charge (someone) with an offense or crime,buộc tội,He was accused of theft.,verb,"accuses, accusing, accused","charge, indict","absolve, exonerate","accuse of a crime, accuse falsely"
achieve,"Successfully reach (a desired objective or result) by effort, skill, or courage",đạt được,She achieved her goal.,verb,"achieves, achieving, achieved","succeed, accomplish","fail, forfeit","achieve success, achieve a goal"
achievement,"A thing done successfully, typically by effort, courage, or skill",thành tích,She celebrated her achievement.,noun,achievements,"accomplishment, success","failure, defeat","great achievement, remarkable achievement"
acid,"A chemical substance that neutralizes alkalis, dissolves some metals, and turns litmus red; typically, a corrosive or sour-tasting liquid of this kind",axit,The acid burned his skin.,"noun, adjective","acids, acidic","chemical, corrosive","alkaline, base","acid rain, stomach acid"
acknowledge,Accept or admit the existence or truth of,thừa nhận,She acknowledged the problem.,verb,"acknowledges, acknowledging, acknowledged","admit, accept","deny, reject","acknowledge a problem, acknowledge an error"
a couple,Two people or things of the same sort considered together,một cặp vợ chồng,They are a happy couple.,noun,couples,"pair, duo","individual, single","a couple of friends, a couple of hours"
acquire,Buy or obtain (an asset or object) for oneself,giành được,She acquired new skills.,verb,"acquires, acquiring, acquired","obtain, get","lose, forfeit","acquire knowledge, acquire skills"
across,"From one side to the other of (a place, area, etc.)",sang,She walked across the street.,"preposition, adverb",none,"over, through",none,"walk across, travel across"
act,Take action; do something,hành động,She decided to act.,"verb, noun","acts, acting, acted","perform, do","cease, stop","act quickly, act on"
action,"The fact or process of doing something, typically to achieve an aim",hoạt động,She took action to improve her grades.,noun,actions,"deed, operation","inaction, inactivity","take action, action plan"
active,Engaging or ready to engage in physically energetic pursuits,tích cực,She is an active member of the community.,adjective,"actively, activity","energetic, lively","inactive, lazy","active lifestyle, active role"
actively,In an active manner; energetically,tích cực,She is actively involved in the project.,adverb,active,"energetically, vigorously","inactively, lazily","actively participate, actively engage"
activity,The condition in which things are happening or being done,hoạt động ,She enjoys outdoor activities.,noun,activities,"action, pursuit","inactivity, idleness","recreational activity, physical activity"
actor,"A person whose profession is acting on the stage, in movies, or on television",diễn viên,He is a famous actor.,noun,actors,"performer, thespian",none,"leading actor, supporting actor"
actress,A female actor,nữ diễn viên,She won an award for best actress.,noun,actresses,female actor,male actor,"leading actress, supporting actress"
actual,Existing in fact; real,thật sự,This is the actual cost.,adjective,actually,"real, factual","fake, false","actual cost, actual fact"
actually,As the truth or facts of a situation; really,Thực ra,She actually likes the idea.,adverb,actual,"really, truly","supposedly, seemingly","actually happened, actually true"
ad,An advertisement,quảng cáo,She saw an ad in the newspaper.,noun,ads,"advertisement, commercial",none,"place an ad, run an ad"
adapt,Make (something) suitable for a new use or purpose; modify,thích nghi,She adapted the recipe for her diet.,verb,"adapts, adapting, adapted","modify, adjust","neglect, reject","adapt to change, adapt the recipe"
add,"Join (something) to something else so as to increase the size, number, or amount",thêm vào,She added sugar to the tea.,verb,"adds, adding, added","append, attach","subtract, remove","add sugar, add up"
addition,The action or process of adding something to something else,phép cộng,"In addition to the main course, there were desserts.",noun,additions,"insertion, inclusion","subtraction, removal","in addition, addition to"
additional,"Added, extra, or supplementary to what is already present or available",thêm vào,She requested additional information.,adjective,additionally,"extra, supplementary","basic, primary","additional resources, additional cost"
address,The particulars of the place where someone lives or an organization is situated,Địa chỉ,She wrote her address on the form.,"noun, verb","addresses, addressing, addressed","location, place",none,"home address, email address"
add up,To calculate the total of two or more numbers or amounts,cộng lại,She added up the total cost.,phrasal verb,"adds up, adding up, added up","total, sum","subtract, take away","add up the bill, add up the scores"
add up to,To result in a total amount,thêm vào,The expenses add up to a large sum.,phrasal verb,"adds up to, adding up to, added up to","amount to, come to","reduce, decrease","add up to a total, add up to a large amount"
adequate,Satisfactory or acceptable in quality or quantity,đủ,She has adequate resources.,adjective,adequately,"sufficient, satisfactory","inadequate, insufficient","adequate resources, adequate preparation"
adequately,In a satisfactory way,đầy đủ,The task was adequately completed.,adverb,adequate,"sufficiently, suitably","insufficiently, poorly","adequately prepared, adequately equipped"
adjust,"Alter or move (something) slightly in order to achieve the desired fit, appearance, or result",điều chỉnh,She adjusted the mirror.,verb,"adjusts, adjusting, adjusted","modify, adapt","ignore, neglect","adjust the settings, adjust the position"
admiration,Respect and warm approval,sự ngưỡng mộ,She felt admiration for the artist.,noun,admirations,"esteem, respect","disapproval, contempt","deep admiration, great admiration"
admire,"Regard (an object, quality, or person) with respect or warm approval",ngưỡng mộ,She admires her teacher.,verb,"admires, admiring, admired","respect, appreciate","despise, scorn","admire greatly, admire deeply"
admit,"Confess to be true or to be the case, typically with reluctance",thừa nhận,She admitted her mistake.,verb,"admits, admitting, admitted","confess, acknowledge","deny, reject","admit a mistake, admit to guilt"
adopt,Legally take (another's child) and bring it up as one's own,nhận nuôi,They adopted a child.,verb,"adopts, adopting, adopted","take in, foster","abandon, reject",none
adult,A person who is fully grown or developed,người lớn,She is an adult.,"noun, adjective",adults,"grown-up, mature","child, juvenile","young adult, responsible adult"
advance,"Move forward, typically in a purposeful way",nâng cao,They advanced towards the goal.,"verb, noun, adjective","advances, advancing, advanced","progress, proceed","retreat, withdraw","advance in career, advance forward"
advanced,Far on or ahead in development or progress,trình độ cao,She is in an advanced class.,adjective,advance,"sophisticated, developed","basic, simple","advanced technology, advanced level"
advantage,A condition or circumstance that puts one in a favorable or superior position,lợi thế,She has an advantage in the competition.,"noun, verb","advantages, advantaging, advantaged","benefit, edge","disadvantage, drawback","competitive advantage, strategic advantage"
adventure,"An unusual and exciting, typically hazardous, experience or activity",cuộc phiêu lưu,They went on an adventure.,"noun, verb","adventures, adventuring, adventured","escapade, journey","routine, safety","adventure travel, adventure story"
advert,"A notice or announcement in a public medium promoting a product, service, or event",quảng cáo,She saw an advert for a new car.,"noun, verb",adverts,"announcement, notice",none,"place an advert, see an advert"
advertise,"Describe or draw attention to (a product, service, or event) in a public medium to promote sales or attendance",quảng cáo,They advertised the event on TV.,verb,"advertises, advertising, advertised","promote, publicize","hide, conceal","advertise a product, advertise widely"
advertisement,"A notice or announcement in a public medium promoting a product, service, or event",quảng cáo,The advertisement was very effective.,noun,advertisements,"ad, advert",none,"effective advertisement, newspaper advertisement"
advertising,The activity or profession of producing advertisements for commercial products or services,quảng cáo,She works in advertising.,noun,advertisings,"marketing, promotion",none,"digital advertising, advertising campaign"
advice,Guidance or recommendations offered with regard to prudent future action,khuyên bảo,She gave good advice.,noun,advices,"guidance, counsel","misguidance, misinformation","seek advice, give advice"
advise,Offer suggestions about the best course of action to someone,khuyên nhủ,She advised him to rest.,verb,"advises, advising, advised","recommend, counsel","misadvise, misguide","advise on, advise against"
affair,An event or sequence of events of a specified kind or that has previously been referred to,chuyện tình,It was a private affair.,noun,affairs,"event, incident",none,"family affair, love affair"
affect,Have an effect on; make a difference to,ảnh hưởng,The weather affects my mood.,verb,"affects, affecting, affected","influence, impact",none,"affect significantly, affect deeply"
affection,A gentle feeling of fondness or liking,sự yêu mến,She has deep affection for her pet.,noun,affections,"fondness, love","hatred, dislike","show affection, deep affection"
afford,Have enough money to pay for,đủ khả năng,They can't afford a new car.,verb,"affords, affording, afforded","manage, bear","forbid, deny","can't afford, afford the cost"
afraid,Feeling fear or anxiety; frightened,sợ,She is afraid of spiders.,adjective,afraidly,"scared, fearful","brave, fearless","afraid of the dark, afraid to go"
after,In the time following (an event or another period of time),sau đó,We can discuss this after lunch.,"preposition, conjunction, adverb",afters,"following, subsequent","before, prior","after a while, after the event"
afternoon,The time from noon or lunchtime to evening,buổi chiều,They met in the afternoon.,noun,afternoons,"lunchtime, midday","morning, night","in the afternoon, late afternoon"
afterwards,At a later or future time,sau đó,"She went shopping and afterwards, she relaxed.",adverb,afterwards,"later, subsequently","before, earlier","soon afterwards, shortly afterwards"
again,Another time; once more,lại,She sang the song again.,adverb,again,"repeatedly, once more","never, once","try again, once again"
against,In opposition to,chống lại,She stood against the wall.,preposition,none,"opposed to, contrary to","for, supporting","against the law, fight against"
age,The length of time that a person has lived or a thing has existed,tuổi,She is 30 years of age.,noun,ages,"years, duration","youth, infancy","childhood age, age group"
aged,Having lived for a specified length of time; old,già,The aged man walked slowly.,adjective,"age, aging","elderly, old","young, youthful","aged care, aged 10"
agency,A business or organization providing a particular service,hãng,She works at an advertising agency.,noun,agencies,"office, bureau","individual, freelancer","travel agency, government agency"
agent,A person who acts on behalf of another person or group,đại lý,He is a secret agent.,noun,agents,"representative, operative","principal, client","real estate agent, secret agent"
aggressive,Ready or likely to attack or confront; characterized by or resulting from aggression,hung dữ,He was aggressive during the argument.,adjective,aggressively,"hostile, belligerent","passive, peaceful","aggressive behavior, aggressive strategy"
ago,Before the present; earlier,trước kia,It happened a long time ago.,adverb,none,"previously, earlier","later, future","years ago, long ago"
agree,Have the same opinion about something; concur,đồng ý,I agree with your opinion.,verb,"agrees, agreeing, agreed","concur, assent","disagree, differ","agree on, agree with"
agreement,A negotiated and typically legally binding arrangement between parties,hiệp định,They signed the agreement.,noun,agreements,"contract, deal","disagreement, dispute","come to an agreement, sign an agreement"
ahead,In or toward the front; in advance,phía trước,She looked ahead and saw the finish line.,adverb,ahead,"forward, in front","behind, back","look ahead, plan ahead"
aid,"Help, typically of a practical nature",sự giúp đỡ,They provided aid to the refugees.,"noun, verb","aids, aiding, aided","assistance, help","hindrance, obstruction","financial aid, humanitarian aid"
aim,Point or direct (a weapon or camera) at a target,mục tiêu,He aimed at the target.,"verb, noun","aims, aiming, aimed","target, goal","neglect, ignore","aim high, aim at"
air,"The invisible gaseous substance surrounding the earth, a mixture mainly of oxygen and nitrogen",không khí,The air is fresh in the mountains.,noun,airs,"atmosphere, breeze",none,"fresh air, air quality"
aircraft,A vehicle that is able to fly by gaining support from the air,phi cơ,The aircraft took off smoothly.,noun,aircrafts,"plane, jet",none,"military aircraft, passenger aircraft"
airport,"A complex of runways and buildings for the takeoff, landing, and maintenance of civil aircraft",sân bay,She waited at the airport.,noun,airports,"airfield, aerodrome",none,"international airport, busy airport"
alarm,An anxious awareness of danger,báo thức,She felt a sense of alarm.,"noun, verb","alarms, alarming, alarmed","warning, alert","calm, composure","set off the alarm, raise the alarm"
alarmed,Experiencing a sudden sense of danger,báo động,He was alarmed by the news.,adjective,alarmed,"frightened, scared","unconcerned, calm","feel alarmed, become alarmed"
alarming,Worrying or disturbing,đáng báo động,The situation is alarming.,adjective,alarmingly,"disturbing, frightening","reassuring, comforting","alarming rate, alarming situation"
alcohol,"A colorless volatile flammable liquid which is the intoxicating constituent of wine, beer, spirits, and other drinks",rượu bia,He doesn't drink alcohol.,noun,alcohols,"ethanol, drink",none,"consume alcohol, alcohol consumption"
alcoholic,Containing or relating to alcoholic liquor,rượu,He is an alcoholic.,"adjective, noun",alcoholics,"inebriate, lush",non-alcoholic,"alcoholic drinks, alcoholic beverages"
alive,"Living, not dead",còn sống,The patient is still alive.,adjective,alive,"living, breathing","dead, lifeless","stay alive, keep alive"
all,Used to refer to the whole quantity or extent of a particular group or thing,tất cả,All the students passed the exam.,"determiner, pronoun, adverb",allness,"every, entire","none, nothing","all of, at all"
allied,Joined by or relating to members of an alliance,liên minh,The allied forces launched an attack.,adjective,allies,"united, affiliated","enemy, adversary","allied forces, allied nations"
allow,Give (someone) permission to do something,cho phép,She allowed him to leave.,verb,"allows, allowing, allowed","permit, let","forbid, prevent","allow time, allow access"
allow for,Take into consideration when making plans or calculations,cho phép,We need to allow for delays.,phrasal verb,"allows for, allowing for, allowed for","consider, account for","ignore, disregard","allow for traffic, allow for error"
all right,Satisfactory but not especially good,được rồi,The food was all right.,"adverb, adjective",all rightness,"okay, fine","bad, poor","all right now, feel all right"
ally,A state formally cooperating with another for a military or other purpose,đồng minh,The country is an ally of the US.,noun,allies,"partner, supporter","enemy, opponent","military ally, key ally"
almost,Very nearly but not exactly or entirely,hầu hết,She almost missed the bus.,adverb,almost,"nearly, about","exactly, completely","almost done, almost finished"
alone,Having no one else present; on one's own,một mình,He lives alone.,"adjective, adverb",aloneness,"solitary, single","together, accompanied","live alone, feel alone"
along,Moving in a constant direction on (a path or any more or less horizontal surface),dọc theo,They walked along the beach.,"preposition, adverb",along,"beside, alongside",none,"walk along, travel along"
alongside,Close to the side of; next to,bên cạnh,The boat was docked alongside the pier.,"preposition, adverb",alongside,"next to, beside","away from, far from","work alongside, stand alongside"
aloud,Audibly; not silently or in a whisper,lớn tiếng,She read the letter aloud.,adverb,aloud,"audibly, loudly","silently, quietly","read aloud, laugh aloud"
alphabet,A set of letters or symbols in a fixed order used for writing a language,bảng chữ cái,The English alphabet has 26 letters.,noun,alphabets,"letters, characters",none,"Latin alphabet, Greek alphabet"
alphabetical,Arranged in the order of the letters of the alphabet,theo bảng chữ cái,The books are in alphabetical order.,adjective,alphabetically,none,none,"alphabetical list, alphabetical order"
alphabetically,In alphabetical order,theo thứ tự bảng chữ cái,The files are sorted alphabetically.,adverb,alphabetical,none,none,"sorted alphabetically, arranged alphabetically"
already,Before or by now or the time in question,đã,She has already finished her homework.,adverb,already,"by now, before","not yet, never","already done, already known"
also,In addition; too,Mà còn,She is talented and also very hardworking.,adverb,also,"too, as well","neither, nor","also known as, and also"
alter,Change or cause to change in character or composition,thay đổi,He altered his appearance.,verb,"alters, altering, altered","change, modify","keep, maintain","alter the plan, alter the dress"
alternative,Available as another possibility or choice,thay thế,There is an alternative route.,"noun, adjective",alternatives,"option, choice",none,"alternative option, alternative solution"
alternatively,As another option or possibility,cách khác,You could alternatively use a different tool.,adverb,alternative,"optionally, otherwise",none,"use alternatively, consider alternatively"
although,In spite of the fact that; even though,mặc dù,"Although it was raining, we went for a walk.",conjunction,although,"though, even though",none,"although difficult, although true"
altogether,Completely; totally,toàn bộ,She stopped seeing him altogether.,adverb,altogether,"completely, entirely","partially, incompletely","altogether different, altogether gone"
always,At all times; on all occasions,luôn luôn,She always arrives on time.,adverb,always,"constantly, forever","never, sometimes","always happy, always ready"
a.m.,Before noon,là.,The meeting is at 10 a.m.,abbreviation,a.m.,"morning, ante meridiem","p.m., afternoon","10 a.m., early a.m."
amaze,Surprise (someone) greatly; fill with astonishment,ngạc nhiên,The performance amazed everyone.,verb,"amazes, amazing, amazed","astonish, astound","bore, disinterest","amaze people, never cease to amaze"
amazed,Greatly surprised; astonished,ngạc nhiên,She was amazed by the news.,adjective,amazedly,"astonished, astounded","indifferent, unsurprised","amazed at, amazed by"
amazing,Causing great surprise or wonder; astonishing,tuyệt vời,The view is amazing.,adjective,amazingly,"astonishing, astounding","ordinary, unremarkable","amazing experience, amazing talent"
ambition,A strong desire to do or achieve something,tham vọng ,His ambition is to become a doctor.,noun,ambitions,"aspiration, goal","indifference, laziness","career ambition, lifelong ambition"
ambulance,A vehicle specially equipped for taking sick or injured people to and from the hospital,xe cứu thương,The ambulance arrived quickly.,noun,ambulances,"emergency vehicle, medical vehicle",none,"call an ambulance, need an ambulance"
among,Situated more or less centrally in relation to (several other things),giữa,There was a big tree among the houses.,preposition,amongst,"amid, amidst","outside, separate","among friends, among the best"
amount,A quantity of something,số lượng,The amount of water needed is 2 liters.,noun,amounts,"quantity, sum",none,"large amount, small amount"
amount to,To total; to result in a final amount,số tiền lên tới,The total cost amounts to $100.,phrasal verb,"amounts to, amounting to, amounted to","total, come to",none,"amount to nothing, amount to a lot"
amuse,Cause (someone) to find something funny; entertain,thích thú,The clown amused the children.,verb,"amuses, amusing, amused","entertain, delight","bore, tire","amuse the crowd, amuse greatly"
amused,Finding something funny or entertaining,thích thú,She was amused by his jokes.,adjective,amusedly,"entertained, delighted","bored, uninterested","be amused, look amused"
amusing,Causing laughter or providing entertainment,vui,The movie was very amusing.,adjective,amusingly,"funny, entertaining","boring, dull","amusing story, amusing incident"
analyse,Examine methodically and in detail the constitution or structure of (something),phân tích,They analyzed the data.,verb,"analyzes, analyzing, analyzed","examine, study","ignore, overlook","analyse data, analyse thoroughly"
analysis,Detailed examination of the elements or structure of something,Phân tích,The analysis revealed some interesting facts.,noun,analyses,"examination, study",none,"detailed analysis, in-depth analysis"
ancient,Belonging to the very distant past and no longer in existence,cổ đại,They found ancient artifacts.,adjective,anciently,"old, historic","modern, new","ancient history, ancient ruins"
and,"Used to connect words of the same part of speech, clauses, or sentences",Và,She likes tea and coffee.,conjunction,and,"plus, together with",none,"and so on, and then"
anger,"A strong feeling of annoyance, displeasure, or hostility",sự tức giận,He couldn't control his anger.,noun,"angers, angering, angered","rage, fury","calm, peace","feel anger, express anger"
angle,The space (usually measured in degrees) between two intersecting lines or surfaces at or close to the point where they meet,góc,The angles of the triangle add up to 180 degrees.,noun,angles,"inclination, slant",none,"acute angle, right angle"
angrily,In a manner resulting from or betraying anger,giận dữ,She shouted angrily.,adverb,angry,"furiously, irritably","calmly, gently","speak angrily, react angrily"
angry,"Feeling or showing strong annoyance, displeasure, or hostility",tức giận,He was angry about the delay.,adjective,"angrier, angriest","mad, furious","calm, happy","angry with, angry about"
animal,"A living organism that feeds on organic matter, typically having specialized sense organs and nervous system and able to respond rapidly to stimuli",động vật,The zoo has many animals.,noun,animals,"creature, beast",none,"wild animal, domestic animal"
ankle,The joint connecting the foot with the leg,mắt cá chân,She twisted her ankle.,noun,ankles,"joint, hinge",none,"sprain an ankle, ankle injury"
anniversary,The date on which an event took place in a previous year,dịp kỉ niệm,Today is their wedding anniversary.,noun,anniversaries,"celebration, commemoration",none,"celebrate anniversary, anniversary gift"
announce,"Make a public and typically formal declaration about a fact, occurrence, or intention",thông báo,They announced their engagement.,verb,"announces, announcing, announced","declare, proclaim","conceal, hide","announce officially, announce plans"
annoy,Make (someone) a little angry; irritate,làm phiền,His comments annoyed her.,verb,"annoys, annoying, annoyed","irritate, vex","delight, please","annoy greatly, annoy slightly"
annoyed,Slightly angry; irritated,khó chịu,She was annoyed by the noise.,adjective,annoyingly,"irritated, vexed","pleased, content","feel annoyed, look annoyed"
annoying,Causing irritation or annoyance,khó chịu,The loud music was annoying.,adjective,annoyingly,"irritating, vexing","pleasing, delightful","annoying habit, annoying person"
annual,Occurring once every year,hàng năm,The annual meeting is in July.,adjective,annuals,"yearly, per annum",none,"annual report, annual income"
annually,Once a year; every year,hàng năm,The event is held annually.,adverb,annually,"yearly, each year",none,"celebrated annually, review annually"
another,Used to refer to an additional person or thing of the same type as one already mentioned or known,khác,She needs another pen.,"determiner, pronoun",another,"additional, one more","same, identical","another one, another example"
answer,"A thing said, written, or done to deal with or as a reaction to a question, statement, or situation",trả lời,She gave the right answer.,"noun, verb","answers, answering, answered","reply, respond","question, query","correct answer, answer quickly"
anti-,Opposed to; against,chống,This is an anti-war protest.,prefix,"antiwar, anticlimax","against, opposing",pro-,"anti-inflammatory, anti-aging"
anticipate,Regard as probable; expect or predict,đoán trước,They anticipate a lot of rain.,verb,"anticipates, anticipating, anticipated","expect, foresee",none,"eagerly anticipate, anticipate problems"
anxiety,"A feeling of worry, nervousness, or unease about something with an uncertain outcome",sự lo lắng,He felt a surge of anxiety.,noun,anxieties,"worry, concern","calm, confidence","general anxiety, cause anxiety"
anxious,"Experiencing worry, unease, or nervousness",lo lắng,She was anxious about the test.,adjective,anxiously,"worried, uneasy","calm, relaxed","anxious about, anxious for"
anxiously,In a manner resulting from or revealing anxiety,lo lắng,They waited anxiously for news.,adverb,anxiously,"nervously, worriedly","calmly, confidently","wait anxiously, look anxiously"
any,"Used to refer to one or some of a thing or number of things, no matter how much or many",bất kì,Is there any milk left?,"determiner, pronoun, adverb","anyway, anyhow","some, any",none,"any time, any day"
anybody,Any person; anyone,bất cứ ai,Anybody can join the club.,pronoun,anybody,"anyone, everyone","nobody, no one","anybody else, anybody interested"
anyone,Any person; anybody,bất cứ ai ,Does anyone know the answer?,pronoun,anyone,"anybody, everyone","nobody, no one","anyone else, anyone who"
anything,"Used to refer to a thing, no matter what",bất cứ điều gì,She will do anything for her children.,pronoun,anything,"something, whatever","nothing, none","do anything, anything else"
anyway,Used to confirm or support a point or idea just mentioned,Dẫu sao thì,"It's cold outside, but I'm going anyway.",adverb,anyway,"nonetheless, nevertheless",none,"anyway, I think, but anyway"
anywhere,In or to any place,bất cứ nơi nào,You can find this product anywhere.,adverb,anywhere,"everywhere, wherever",nowhere,"find anywhere, go anywhere"
apart,To one side; at a distance from the main body,riêng biệt,He stood apart from the group.,"adverb, adjective",apartness,"separately, aside","together, joined","stand apart, set apart"
apart from,Except for; other than,ngoài,"Apart from the weather, the trip was great.",preposition,apart from,"except, besides","including, with","apart from that, apart from this"
apartment,"A set of rooms forming an individual residence, typically on one floor and within a larger building",căn hộ,She lives in an apartment downtown.,noun,apartments,"flat, condo","house, villa","luxury apartment, rent an apartment"
apologize,Express regret for something that one has done wrong,xin lỗi,I apologize for the mistake.,verb,"apologizes, apologizing, apologized","say sorry, express regret",none,"apologize for, apologize to"
apparent,Clearly visible or understood; obvious,rõ ràng,It was apparent that she was upset.,adjective,apparently,"obvious, evident","hidden, unclear","become apparent, make apparent"
apparently,As far as one knows or can see,rõ ràng,"Apparently, it is going to rain today.",adverb,apparent,"seemingly, evidently",none,"apparently true, apparently due"
appeal,"Make a serious or urgent request, typically to the public",bắt mắt,They made an appeal for donations.,"noun, verb","appeals, appealing, appealed","plea, request",none,"appeal to, appeal for"
appear,Come into sight; become visible or noticeable,xuất hiện,She appeared out of nowhere.,verb,"appears, appearing, appeared","show, emerge","disappear, vanish","appear suddenly, appear on"
appearance,The way that someone or something looks,vẻ bề ngoài,He takes pride in his appearance.,noun,appearances,"look, aspect","disappearance, absence","physical appearance, appearance change"
apple,"The round fruit of a tree of the rose family, which typically has thin green or red skin and crisp flesh",quả táo,She ate an apple for lunch.,noun,apples,fruit,none,"apple tree, apple pie"
application,A formal request to an authority for something,ứng dụng,He filled out an application for the job.,noun,applications,"request, petition",none,"job application, application form"
apply,Make a formal application or request,áp dụng,You need to apply for the position.,verb,"applies, applying, applied","petition, request",none,"apply for, apply to"
appoint,Assign a job or role to (someone),bổ nhiệm,She was appointed as the new manager.,verb,"appoints, appointing, appointed","assign, designate","dismiss, remove","appoint a manager, appoint a date"
appointment,An arrangement to meet someone at a particular time and place,cuộc hẹn,I have an appointment with the doctor.,noun,appointments,"meeting, date","cancellation, refusal","doctor's appointment, set an appointment"
appreciate,Recognize the full worth of,đánh giá,I appreciate your help.,verb,"appreciates, appreciating, appreciated","value, respect","disregard, ignore","greatly appreciate, appreciate fully"
approach,Come near or nearer to (someone or something) in distance,tiếp cận,She approached the door slowly.,"verb, noun","approaches, approaching, approached","move towards, come near","retreat, withdraw","cautiously approach, approach the subject"
appropriate,Suitable or proper in the circumstances,phù hợp,That outfit is appropriate for the occasion.,adjective,appropriately,"suitable, proper","inappropriate, unsuitable","appropriate behavior, appropriate response"
approval,The action of officially agreeing to something or accepting something as satisfactory,sự chấp thuận,The project has received approval.,noun,approvals,"acceptance, consent","disapproval, rejection","gain approval, seek approval"
approve,Officially agree to or accept as satisfactory,chấp thuận,Do you approve of this plan?,verb,"approves, approving, approved","accept, agree","reject, disapprove","approve the plan, approve of"
approving,Showing or feeling approval of someone or something,phê duyệt,He gave an approving nod.,adjective,approvingly,"supportive, favorable",disapproving,"approving glance, approvingly"
